# Time(s)	Cwnd(packets) [sampled @1s]
1	244
2	973
3	1458
4	1138
5	1528
6	1230
7	944
8	1328
9	1011
10	1425
11	1092
12	1518
13	1190
14	1528
15	1286
16	984
17	1385
18	1052
19	1481
20	1150
21	1528
22	1250
23	958
24	1345
25	1024
26	1441
27	1109
28	1528
29	1208
30	928
31	1305
32	994
33	1402
34	1070
35	1498
36	1165
37	1528
38	1262
39	966
40	1360
41	1032
42	1454
43	1123
44	1528
45	1220
46	933
47	1312
48	998
49	1407
50	1070
51	1500
52	1167
53	1528
54	1262
55	962
56	1358
57	1027
58	1450
59	1112
60	1528
61	1209
62	924
63	1302
64	990
65	1397
66	1055
67	1488
68	1151
69	1528
70	1250
71	952
72	1341
73	1014
74	1429
75	1093
76	1522
77	1183
78	1528
79	1278
80	974
81	740.5
82	741
83	642
84	562
85	562
86	348
87	374
88	426
89	477
90	529
91	562
92	562
93	349
94	355
95	405
96	457
97	509
98	560
99	562
100	348
101	349
102	387
103	438
104	490
105	542
106	562
107	562
108	349
109	368
110	420
111	471
112	521
113	562
114	562
115	348
116	348
117	399
118	452
119	502
120	553
121	562
122	349
123	348
124	380
125	433
126	484
127	535
128	562
129	562
130	349
131	362
132	412
133	464
134	516
135	562
136	562
137	348
138	349
139	393
140	445
141	497
142	548
143	562
144	348
145	349
146	375
147	426
148	478
149	529
150	562
151	562
152	348
153	355
154	407
155	458
156	510
157	560
158	562
159	348
160	348
161	562
162	590
163	599
164	593
165	602
166	596
167	599
168	596
169	596
170	603
171	596
172	598
173	598
174	597
175	602
176	595
177	596
178	593
179	598
180	598
181	598
182	598
183	598
184	598
185	598
186	598
187	598
188	598
189	598
190	598
191	598
192	598
193	598
194	598
195	598
196	598
197	598
198	598
199	598
200	598
201	598
202	598
203	598
204	598
205	598
206	598
207	598
208	598
209	598
210	598
211	598
212	598
213	598
214	598
215	598
216	598
217	598
218	598
219	598
220	598
221	598
222	598
223	598
224	598
225	598
226	598
227	598
228	598
229	598
230	598
231	598
232	598
233	598
234	598
235	598
236	598
237	598
238	598
239	598
