# Time(s)	R2-D1_Throughput(Mbps)  [FlowMonitor]
1	5.98464
2	44.9767
3	49.8679
4	49.8826
5	49.8698
6	49.8721
7	49.8833
8	49.8716
9	49.8766
10	49.8732
11	49.8772
12	49.8713
13	49.878
14	49.8718
15	49.8756
16	49.8734
17	49.8758
18	49.8722
19	49.881
20	49.8739
21	49.8715
22	49.8786
23	49.8716
24	49.8722
25	49.8798
26	49.8746
27	49.8699
28	49.8797
29	49.8765
30	49.8763
31	49.8676
32	49.878
33	49.8775
34	49.8702
35	49.8747
36	49.8759
37	49.8772
38	49.8733
39	49.8719
40	49.8808
41	49.8742
42	49.8696
43	49.8748
44	49.8773
45	49.8772
46	49.8728
47	49.876
48	49.8744
49	49.873
50	49.8764
51	49.8753
52	49.8743
53	49.8729
54	49.8709
55	49.8764
56	49.8736
57	49.8748
58	49.8752
59	49.8703
60	49.8742
61	49.8787
62	49.8723
63	49.8739
64	49.8711
65	49.8764
66	49.8784
67	49.8686
68	49.8785
69	49.8742
70	49.871
71	49.8769
72	49.8714
73	49.8692
74	49.8749
75	49.8749
76	49.8749
77	49.8769
78	49.873
79	49.8716
80	49.8724
81	30.442
82	22.5245
83	23.792
84	23.75
85	23.9014
86	24.4316
87	24.4316
88	24.4316
89	24.3812
90	24.2044
91	23.8846
92	23.5732
93	24.4401
94	24.4316
95	24.4232
96	24.4316
97	24.2465
98	24.1203
99	23.5648
100	24.1287
101	24.4232
102	24.4316
103	24.4316
104	24.3307
105	24.2044
106	23.7163
107	23.8004
108	24.4232
109	24.4401
110	24.4232
111	24.4232
112	24.2044
113	23.9519
114	23.5648
115	24.3475
116	24.4316
117	24.4232
118	24.4316
119	24.2633
120	24.2044
121	23.5648
122	24.0193
123	24.4316
124	24.4316
125	24.4232
126	24.3559
127	24.2044
128	23.8004
129	23.6995
130	24.4232
131	24.4232
132	24.4401
133	24.4401
134	24.2044
135	24.0361
136	23.5648
137	24.2381
138	24.4316
139	24.4316
140	24.4316
141	24.297
142	24.2044
143	23.6321
144	23.9183
145	24.4316
146	24.4232
147	24.4316
148	24.3896
149	24.2044
150	23.8678
151	23.59
152	24.4316
153	24.4316
154	24.4316
155	24.4401
156	24.2297
157	24.1118
158	23.5648
159	24.1371
160	24.4316
161	42.7112
162	48.3415
163	49.848
164	49.8816
165	49.8732
166	49.8648
167	49.89
168	49.8396
169	49.9069
170	49.8816
171	49.8564
172	49.8648
173	49.8648
174	49.8985
175	49.848
176	49.8732
177	49.848
178	49.8816
179	49.8311
180	49.9069
181	49.8985
182	49.9069
183	49.9069
184	49.9069
185	49.9069
186	49.8985
187	49.9069
188	49.9069
189	49.9069
190	49.8985
191	49.9069
192	49.9069
193	49.9069
194	49.9069
195	49.8985
196	49.9069
197	49.9069
198	49.9069
199	49.9069
200	49.8985
201	49.9069
202	49.9069
203	49.9069
204	49.9069
205	49.8985
206	49.9069
207	49.9069
208	49.9069
209	49.9069
210	49.8985
211	49.9069
212	49.9069
213	49.9069
214	49.8985
215	49.9069
216	49.9069
217	49.9069
218	49.9069
219	49.8985
220	49.9069
221	49.9069
222	49.9069
223	49.9069
224	49.8985
225	49.9069
226	49.9069
227	49.9069
228	49.9069
229	49.8985
230	49.9069
231	49.9069
232	49.9069
233	49.9069
234	49.8985
235	49.9069
236	49.9069
237	49.9069
238	49.8985
239	49.9069
