# Time(s)	RTT(ms)
1.00194	117
1.00228	115
1.00262	113
1.00296	111
1.00329	110
1.00363	109
1.00397	108
1.00431	107
1.00464	106
1.00498	105
1.00532	105
1.00565	104
1.00599	104
1.00633	104
1.00667	103
1.007	103
1.00734	103
1.00768	103
1.00802	103
1.00835	103
1.00869	103
1.00903	103
1.00936	103
1.0097	103
1.01004	103
1.01038	103
1.01071	103
1.01105	103
1.01139	103
1.01173	103
1.01206	103
1.0124	103
1.01274	103
1.01308	103
1.01341	103
1.01375	103
1.01409	103
1.01442	104
1.01476	104
1.0151	104
1.01544	104
1.01577	104
1.01611	104
1.01645	104
1.01679	104
1.01712	104
1.01746	104
1.0178	104
1.01813	105
1.01847	105
1.01881	105
1.01915	105
1.01948	105
1.01982	105
1.02016	105
1.0205	105
1.02083	105
1.02117	106
1.02151	106
1.02184	106
1.02218	106
1.02252	106
1.02286	106
1.02319	106
1.02353	106
1.02387	106
1.02421	107
1.02454	107
1.02488	107
1.02522	107
1.02555	107
1.02589	107
1.02623	107
1.02657	107
1.0269	107
1.02724	108
1.02758	108
1.02792	108
1.02825	108
1.02859	108
1.02893	108
1.02926	108
1.0296	108
1.02994	108
1.03028	109
1.03061	109
1.03095	109
1.03129	109
1.03163	109
1.03196	109
1.0323	109
1.03264	109
1.03297	109
1.03331	110
1.03365	110
1.03399	110
1.03432	110
1.03466	110
1.035	110
1.03534	110
1.03567	110
1.03601	110
1.03635	111
1.03668	111
1.03702	111
1.03736	111
1.0377	111
1.03803	111
1.03837	111
1.03871	111
1.03905	111
1.03938	112
1.03972	112
1.04006	112
1.04039	112
1.04073	112
1.04107	112
1.04141	112
1.04174	112
1.04208	113
1.04242	113
1.04276	113
1.10231	111
1.10265	110
1.10298	109
1.10332	108
1.10366	107
1.10399	106
1.10433	105
1.10467	105
1.10501	104
1.10534	104
1.10568	104
1.10602	103
1.10636	103
1.10669	103
1.10703	103
1.10737	103
1.1077	103
1.10804	103
1.10838	103
1.10872	103
1.10905	103
1.10939	103
1.10973	103
1.11007	103
1.1104	103
1.11074	103
1.11108	103
1.11141	103
1.11175	103
1.11209	103
1.11243	103
1.11276	103
1.1131	103
1.11344	103
1.11378	103
1.11411	103
1.11445	103
1.11479	103
1.11513	103
1.11546	104
1.1158	104
1.11614	104
1.11647	104
1.11681	104
1.11715	104
1.11749	104
1.11782	104
1.11816	104
1.1185	105
1.11884	105
1.11917	105
1.11951	105
1.11985	105
1.12018	105
1.12052	105
1.12086	105
1.1212	105
1.12153	106
1.12187	106
1.12221	106
1.12255	106
1.12288	106
1.12322	106
1.12356	106
1.12389	106
1.12423	106
1.12457	107
1.12491	107
1.12524	107
1.12558	107
1.12592	107
1.12626	107
1.12659	107
1.12693	107
1.12727	107
1.1276	108
1.12794	108
1.12828	108
1.12862	108
1.12895	108
1.12929	108
1.12963	108
1.12997	108
1.1303	108
1.13064	109
1.13098	109
1.13131	109
1.13165	109
1.13199	109
1.13233	109
1.13266	109
1.133	109
1.13334	109
1.13368	110
1.13401	110
1.13435	110
1.13469	110
1.13502	110
1.13536	110
1.1357	110
1.13604	111
1.13637	111
1.13671	111
1.13705	111
1.13739	111
1.13772	111
1.13806	111
1.1384	111
1.13873	111
1.13907	112
1.13941	112
1.13975	112
1.14008	112
1.14042	112
1.14076	112
1.1411	112
1.14143	112
1.14177	112
1.14211	113
1.14244	113
1.14278	113
1.14312	113
1.14346	113
1.14379	113
1.14413	113
1.14447	113
1.14481	113
1.14514	114
1.14548	114
1.14582	114
1.14615	114
1.14649	114
1.14683	114
1.14717	114
1.1475	114
1.14784	114
1.14818	115
1.14852	115
1.14885	115
1.14919	115
1.14953	115
1.14986	115
1.1502	115
1.15054	115
1.15088	115
1.15121	116
1.15155	116
1.15189	116
1.15223	116
1.15256	116
1.1529	116
1.15324	116
1.15357	116
1.15391	116
1.15425	116
1.15459	117
1.15492	117
1.15526	117
1.1556	117
1.15594	117
1.15627	117
1.15661	117
1.15695	117
1.15729	117
1.15762	117
1.15796	117
1.1583	118
1.15863	118
1.15897	118
1.15931	118
1.15965	118
1.15998	118
1.16032	118
1.16066	118
1.161	118
1.16133	119
1.16167	119
1.16201	119
1.16234	119
1.16268	119
1.16302	119
1.16336	119
1.16369	120
1.20267	117
1.20301	115
1.20335	113
1.20368	112
1.20402	110
1.20436	109
1.2047	108
1.20503	107
1.20537	107
1.20571	106
1.20604	105
1.20638	105
1.20672	104
1.20706	104
1.20739	104
1.20773	103
1.20807	103
1.20841	103
1.20874	103
1.20908	103
1.20942	103
1.20975	103
1.21009	103
1.21043	103
1.21077	103
1.2111	103
1.21144	103
1.21178	103
1.21212	103
1.21245	103
1.21279	103
1.21313	103
1.21347	103
1.2138	103
1.21414	103
1.21448	103
1.21481	103
1.21515	103
1.21549	104
1.21583	104
1.21616	104
1.2165	104
1.21684	104
1.21718	104
1.21751	104
1.21785	104
1.21819	104
1.21852	104
1.21886	104
1.2192	105
1.21954	105
1.21987	105
1.22021	105
1.22055	105
1.22089	105
1.22122	105
1.22156	105
1.2219	105
1.22223	106
1.22257	106
1.22291	106
1.22325	106
1.22358	106
1.22392	106
1.22426	106
1.2246	106
1.22493	106
1.22527	107
1.22561	107
1.22594	107
1.22628	107
1.22662	107
1.22696	107
1.22729	107
1.22763	107
1.22797	107
1.22831	108
1.22864	108
1.22898	108
1.22932	108
1.22965	108
1.22999	108
1.23033	108
1.23067	108
1.231	109
1.23134	109
1.23168	109
1.23202	109
1.23235	109
1.23269	109
1.23303	109
1.23336	110
1.2337	110
1.23404	110
1.23438	110
1.23471	110
1.23505	110
1.23539	110
1.23573	110
1.23606	110
1.2364	111
1.23674	111
1.23707	111
1.23741	111
1.23775	111
1.23809	111
1.23842	111
1.23876	111
1.2391	111
1.23944	112
1.23977	112
1.24011	112
1.24045	112
1.24078	112
1.24112	112
1.24146	112
1.2418	112
1.24213	113
1.24247	113
1.24281	113
1.24315	113
1.24348	113
1.24382	113
1.24416	113
1.24449	113
1.24483	113
1.24517	114
1.24551	114
1.24584	114
1.24618	114
1.24652	114
1.24686	114
1.24719	114
1.24753	114
1.24787	114
1.2482	115
1.24854	115
1.24888	115
1.24922	115
1.24955	115
1.24989	115
1.25023	115
1.25057	115
1.2509	115
1.25124	115
1.25158	115
1.25191	115
1.25225	116
1.25259	116
1.25293	116
1.25326	116
1.2536	116
1.25394	116
1.25428	116
1.25461	116
1.25495	116
1.25529	117
1.25563	117
1.25596	117
1.2563	117
1.25664	117
1.25697	117
1.25731	117
1.25765	117
1.25799	117
1.25832	118
1.25866	118
1.259	118
1.25934	118
1.25967	118
1.26001	118
1.26035	118
1.26068	118
1.26102	119
1.26136	119
1.2617	119
1.26203	119
1.26237	119
1.26271	119
1.26305	119
1.26338	119
1.26372	120
1.26406	120
1.26439	120
1.26473	120
1.26507	120
1.26541	120
1.26574	120
1.26608	120
1.26642	120
1.26676	121
1.26709	121
1.26743	121
1.26777	121
1.2681	121
1.26844	121
1.26878	121
1.26912	121
1.26945	122
1.26979	122
1.27013	122
1.27047	122
1.2708	122
1.27114	122
1.27148	122
1.27181	122
1.27215	122
1.27249	123
1.27283	123
1.27316	123
1.2735	123
1.27384	123
1.27418	123
1.27451	123
1.27485	123
1.27519	123
1.27552	124
1.27586	124
1.2762	124
1.27654	124
1.27687	124
1.27721	124
1.27755	124
1.27789	124
1.27822	124
1.27856	125
1.2789	125
1.27923	125
1.27957	125
1.27991	125
1.28025	125
1.28058	125
1.28092	125
1.28126	125
1.2816	126
1.28193	126
1.28227	126
1.28261	126
1.28294	126
1.28328	126
1.28362	126
1.28396	126
1.28429	126
1.28463	127
1.28497	127
1.28531	127
1.28564	127
1.28598	127
1.28632	127
1.28665	127
1.28699	127
1.28733	127
1.28767	128
1.288	128
1.28834	128
1.28868	128
1.28902	128
1.28935	128
1.28969	128
1.29003	128
1.29036	129
1.2907	129
1.29104	129
1.29138	129
1.29171	129
1.29205	129
1.29239	129
1.29273	129
1.29306	129
1.2934	130
1.29374	130
1.29407	130
1.29441	130
1.29475	130
1.30287	131
1.3032	127
1.30354	124
1.30388	121
1.30422	118
1.30455	116
1.30489	114
1.30523	112
1.30557	111
1.3059	110
1.30624	109
1.30658	108
1.30691	107
1.30725	106
1.30759	105
1.30793	105
1.30826	105
1.3086	104
1.30894	104
1.30928	104
1.30961	103
1.30995	103
1.31029	103
1.31062	103
1.31096	103
1.3113	103
1.31164	103
1.31197	103
1.31231	103
1.31265	103
1.31299	103
1.31332	103
1.31366	103
1.314	103
1.31433	103
1.31467	103
1.31501	103
1.31535	103
1.31568	103
1.31602	104
1.31636	104
1.3167	104
1.31703	104
1.31737	104
1.31771	104
1.31804	104
1.31838	104
1.31872	104
1.31906	105
1.31939	105
1.31973	105
1.32007	105
1.32041	105
1.32074	105
1.32108	105
1.32142	105
1.32175	105
1.32209	106
1.32243	106
1.32277	106
1.3231	106
1.32344	106
1.32378	106
1.32412	106
1.32445	106
1.32479	106
1.32513	107
1.32546	107
1.3258	107
1.32614	107
1.32648	107
1.32681	107
1.32715	107
1.32749	107
1.32783	107
1.32816	108
1.3285	108
1.32884	108
1.32917	108
1.32951	108
1.32985	108
1.33019	108
1.33052	108
1.33086	108
1.3312	109
1.33154	109
1.33187	109
1.33221	109
1.33255	109
1.33288	109
1.33322	109
1.33356	109
1.3339	109
1.33423	110
1.33457	110
1.33491	110
1.33525	110
1.33558	110
1.33592	110
1.33626	110
1.3366	110
1.33693	110
1.33727	111
1.33761	111
1.33794	111
1.33828	111
1.33862	111
1.33896	111
1.33929	111
1.33963	111
1.33997	111
1.34031	112
1.34064	112
1.34098	112
1.34132	112
1.34165	112
1.34199	112
1.34233	112
1.34267	112
1.343	113
1.34334	113
1.34368	113
1.34402	113
1.34435	113
1.34469	113
1.34503	113
1.34536	114
1.3457	114
1.34604	114
1.34638	114
1.34671	114
1.34705	114
1.34739	114
1.34773	114
1.34806	114
1.3484	114
1.34874	114
1.34907	115
1.34941	115
1.34975	115
1.35009	115
1.35042	115
1.35076	115
1.3511	115
1.35144	115
1.35177	115
1.35211	116
1.35245	116
1.35278	116
1.35312	116
1.35346	116
1.3538	116
1.35413	116
1.35447	116
1.35481	116
1.35515	117
1.35548	117
1.35582	117
1.35616	117
1.35649	117
1.35683	117
1.35717	117
1.35751	117
1.35784	117
1.35818	118
1.35852	118
1.35886	118
1.35919	118
1.35953	118
1.35987	118
1.3602	118
1.36054	118
1.36088	118
1.36122	119
1.36155	119
1.36189	119
1.36223	119
1.36257	119
1.3629	119
1.36324	119
1.36358	119
1.36391	119
1.36425	120
1.36459	120
1.36493	120
1.36526	120
1.3656	120
1.36594	120
1.36628	120
1.36661	120
1.36695	120
1.36729	121
1.36762	121
1.36796	121
1.3683	121
1.36864	121
1.36897	121
1.36931	121
1.36965	121
1.36999	121
1.37032	122
1.37066	122
1.371	122
1.37133	122
1.37167	122
1.37201	122
1.37235	122
1.37268	122
1.37302	123
1.37336	123
1.3737	123
1.37403	123
1.37437	123
1.37471	123
1.37504	123
1.37538	123
1.37572	124
1.37606	124
1.37639	124
