# Time(s)	Throughput(Mbps)
1	5.688
2	42.2844
3	46.6094
4	46.6319
5	46.6324
6	46.6048
7	46.6493
8	46.5918
9	46.6413
10	46.596
11	46.637
12	46.6194
13	46.6179
14	46.6412
15	46.5963
16	46.6452
17	46.6002
18	46.6412
19	46.6212
20	46.6241
21	46.6362
22	46.6051
23	46.6413
24	46.592
25	46.6492
26	46.6074
27	46.6301
28	46.6345
29	46.6109
30	46.6452
31	46.5879
32	46.6452
33	46.5961
34	46.6371
35	46.617
36	46.6203
37	46.6441
38	46.5932
39	46.6371
40	46.5961
41	46.6369
42	46.5965
43	46.6246
44	46.6279
45	46.6012
46	46.6289
47	46.5838
48	46.6246
49	46.5799
50	46.6287
51	46.6047
52	46.6041
53	46.6244
54	46.5758
55	46.6291
56	46.5797
57	46.6246
58	46.59
59	46.6106
60	46.6103
61	46.594
62	46.625
63	46.5754
64	46.6209
65	46.5754
66	46.6207
67	46.588
68	46.6042
69	46.6161
70	46.5722
71	46.6205
72	46.5633
73	46.6086
74	46.571
75	46.6089
76	46.5956
77	46.5884
78	46.6166
79	46.5631
80	46.6127
81	21.4956
82	28.1217
83	22.616
84	22.576
85	22.72
86	23.224
87	23.224
88	23.224
89	23.176
90	23.008
91	22.704
92	22.408
93	23.232
94	23.224
95	23.216
96	23.224
97	23.048
98	22.928
99	22.4
100	22.936
101	23.216
102	23.224
103	23.224
104	23.128
105	23.008
106	22.544
107	22.624
108	23.216
109	23.232
110	23.216
111	23.216
112	23.008
113	22.768
114	22.4
115	23.144
116	23.224
117	23.216
118	23.224
119	23.064
120	23.008
121	22.4
122	22.832
123	23.224
124	23.224
125	23.216
126	23.152
127	23.008
128	22.624
129	22.528
130	23.216
131	23.216
132	23.232
133	23.232
134	23.008
135	22.848
136	22.4
137	23.04
138	23.224
139	23.224
140	23.224
141	23.096
142	23.008
143	22.464
144	22.736
145	23.224
146	23.216
147	23.224
148	23.184
149	23.008
150	22.688
151	22.424
152	23.224
153	23.224
154	23.224
155	23.232
156	23.032
157	22.92
158	22.4
159	22.944
160	23.224
161	40.6
162	45.952
163	47.384
164	47.416
165	47.408
166	47.4
167	47.424
168	47.376
169	47.44
170	47.416
171	47.392
172	47.4
173	47.4
174	47.432
175	47.384
176	47.408
177	47.384
178	47.416
179	47.368
180	47.44
181	47.432
182	47.44
183	47.44
184	47.44
185	47.44
186	47.432
187	47.44
188	47.44
189	47.44
190	47.432
191	47.44
192	47.44
193	47.44
194	47.44
195	47.432
196	47.44
197	47.44
198	47.44
199	47.44
200	47.432
201	47.44
202	47.44
203	47.44
204	47.44
205	47.432
206	47.44
207	47.44
208	47.44
209	47.44
210	47.432
211	47.44
212	47.44
213	47.44
214	47.432
215	47.44
216	47.44
217	47.44
218	47.44
219	47.432
220	47.44
221	47.44
222	47.44
223	47.44
224	47.432
225	47.44
226	47.44
227	47.44
228	47.44
229	47.432
230	47.44
231	47.44
232	47.44
233	47.44
234	47.432
235	47.44
236	47.44
237	47.44
238	47.432
239	47.44
