# Time(s)	R2-D1_Throughput(Mbps)  [FlowMonitor]
1	4.03213
2	9.93088
3	13.2973
4	16.63
5	19.2558
6	21.9153
7	24.5326
8	27.8233
9	30.5753
10	33.1001
11	35.6333
12	38.1497
13	40.6829
14	43.1993
15	45.7325
16	48.2489
17	49.8648
18	49.8816
19	49.8648
20	49.8732
21	49.8648
22	49.848
23	49.89
24	49.8564
25	49.8564
26	49.8564
27	49.9069
28	49.9069
29	49.9069
30	49.9069
31	49.8985
32	49.9069
33	49.9069
34	49.9069
35	49.9069
36	49.8985
37	49.9069
38	49.9069
39	49.9069
40	49.9069
41	49.8985
42	49.9069
43	49.9069
44	49.9069
45	49.8985
46	49.9069
47	49.9069
48	49.9069
49	49.9069
50	49.8985
51	49.9069
52	49.9069
53	49.9069
54	49.9069
55	49.8985
56	49.9069
57	49.9069
58	49.9069
59	49.9069
60	49.8985
61	49.9069
62	49.9069
63	49.9069
64	49.9069
65	49.8985
66	49.9069
67	49.9069
68	49.9069
69	49.8985
70	49.9069
71	49.9069
72	49.9069
73	49.9069
74	49.8985
75	49.9069
76	49.9069
77	49.9069
78	49.9069
79	49.8985
80	49.9069
81	23.9351
82	11.9591
83	14.8795
84	17.4716
85	20.3331
86	22.8747
87	24.1287
88	24.1118
89	24.0866
90	24.1623
91	23.9772
92	24.1876
93	24.0866
94	24.0529
95	24.1792
96	24.1118
97	24.196
98	24.1623
99	24.0613
100	24.1203
101	24.1203
102	24.1287
103	24.1287
104	24.1371
105	24.1287
106	24.1539
107	24.1623
108	24.1371
109	24.2381
110	24.1287
111	24.0193
112	24.095
113	24.0529
114	24.2044
115	24.0529
116	24.2044
117	24.1876
118	24.0024
119	24.1371
120	24.0698
121	24.1876
122	24.0698
123	24.1876
124	24.1792
125	24.1708
126	24.1371
127	24.1876
128	24.1371
129	24.1876
130	24.0024
131	24.1371
132	24.196
133	24.1792
134	24.0698
135	24.1371
136	24.0613
137	24.1539
138	24.1034
139	24.1539
140	24.1118
141	24.1623
142	24.1623
143	24.1455
144	24.1034
145	24.1118
146	24.1455
147	24.1455
148	23.9099
149	24.1287
150	24.1034
151	24.1287
152	24.1118
153	24.1203
154	24.1539
155	24.1539
156	23.9856
157	24.1623
158	24.0698
159	24.1118
160	24.0529
161	25.4584
162	27.8233
163	30.0115
164	32.1912
165	34.5056
166	36.7274
167	39.1849
168	41.676
169	43.9568
170	46.187
171	48.3078
172	49.7891
173	49.8648
174	49.89
175	49.89
176	49.8564
177	49.8648
178	49.8732
179	49.8816
180	49.8985
181	49.848
182	49.89
183	49.848
184	49.8648
185	49.8985
186	49.8396
187	49.9069
188	49.8648
189	49.8732
190	49.8985
191	49.848
192	49.8732
193	49.848
194	49.8816
195	49.8311
196	49.9069
197	49.8985
198	49.9069
199	49.9069
200	49.9069
201	49.9069
202	49.8985
203	49.9069
204	49.9069
205	49.9069
206	49.8985
207	49.9069
208	49.9069
209	49.9069
210	49.9069
211	49.8985
212	49.9069
213	49.9069
214	49.9069
215	49.9069
216	49.8985
217	49.9069
218	49.9069
219	49.9069
220	49.9069
221	49.8985
222	49.9069
223	49.9069
224	49.9069
225	49.8985
226	49.9069
227	49.9069
228	49.9069
229	49.9069
230	49.8985
231	49.9069
232	49.9069
233	49.9069
234	49.9069
235	49.8985
236	49.9069
237	49.9069
238	49.9069
239	49.9069
