# Time(s)	RTT(ms)
1.00279	100
1.00313	100
1.00346	100
1.0038	100
1.00414	100
1.00447	100
1.00481	100
1.00515	100
1.00549	100
1.00582	100
1.00616	100
1.0065	100
1.00684	100
1.00717	100
1.00751	100
1.00785	100
1.00818	100
1.00852	100
1.00886	100
1.0092	100
1.00953	100
1.00987	100
1.01021	100
1.01055	100
1.01088	100
1.01122	100
1.01156	100
1.01189	100
1.01223	100
1.01257	100
1.01291	100
1.01324	100
1.01358	100
1.01392	100
1.01426	100
1.01459	100
1.01493	100
1.01527	100
1.0156	100
1.01594	100
1.01628	100
1.01662	100
1.01695	100
1.01729	100
1.01763	100
1.01797	100
1.0183	100
1.01864	100
1.10315	100
1.10349	100
1.10383	100
1.10416	100
1.1045	100
1.10484	100
1.10518	100
1.10551	100
1.10585	100
1.10619	100
1.10652	100
1.10686	100
1.1072	100
1.10754	100
1.10787	100
1.10821	100
1.10855	100
1.10889	100
1.10922	100
1.10956	100
1.1099	100
1.11023	100
1.11057	100
1.11091	100
1.11125	100
1.11158	100
1.11192	100
1.11226	100
1.1126	100
1.11293	100
1.11327	100
1.11361	100
1.11394	100
1.11428	100
1.11462	100
1.11496	100
1.11529	100
1.11563	100
1.11597	100
1.11631	100
1.11664	100
1.11698	100
1.11732	100
1.11765	100
1.11799	100
1.11833	100
1.11867	100
1.119	100
1.11934	100
1.11968	100
1.20352	100
1.20385	100
1.20419	100
1.20453	100
1.20486	100
1.2052	100
1.20554	100
1.20588	100
1.20621	100
1.20655	100
1.20689	100
1.20723	100
1.20756	100
1.2079	100
1.20824	100
1.20857	100
1.20891	100
1.20925	100
1.20959	100
1.20992	100
1.21026	100
1.2106	100
1.21094	100
1.21127	100
1.21161	100
1.21195	100
1.21228	100
1.21262	100
1.21296	100
1.2133	100
1.21363	100
1.21397	100
1.21431	100
1.21465	100
1.21498	100
1.21532	100
1.21566	100
1.21599	100
1.21633	100
1.21667	100
1.21701	100
1.21734	100
1.21768	100
1.21802	100
1.21836	100
1.21869	100
1.21903	100
1.21937	100
1.2197	100
1.22004	100
1.22038	100
1.22072	100
