# Time(s)	Throughput(Mbps)
1	3.832
2	9.44
3	12.64
4	15.808
5	18.304
6	20.832
7	23.32
8	26.448
9	29.064
10	31.464
11	33.872
12	36.264
13	38.672
14	41.064
15	43.472
16	45.864
17	47.4
18	47.416
19	47.4
20	47.408
21	47.4
22	47.384
23	47.424
24	47.392
25	47.392
26	47.392
27	47.44
28	47.44
29	47.44
30	47.44
31	47.432
32	47.44
33	47.44
34	47.44
35	47.44
36	47.432
37	47.44
38	47.44
39	47.44
40	47.44
41	47.432
42	47.44
43	47.44
44	47.44
45	47.432
46	47.44
47	47.44
48	47.44
49	47.44
50	47.432
51	47.44
52	47.44
53	47.44
54	47.44
55	47.432
56	47.44
57	47.44
58	47.44
59	47.44
60	47.432
61	47.44
62	47.44
63	47.44
64	47.44
65	47.432
66	47.44
67	47.44
68	47.44
69	47.432
70	47.44
71	47.44
72	47.44
73	47.44
74	47.432
75	47.44
76	47.44
77	47.44
78	47.44
79	47.432
80	47.44
81	22.752
82	11.368
83	14.144
84	16.608
85	19.328
86	21.744
87	22.936
88	22.92
89	22.896
90	22.968
91	22.792
92	22.992
93	22.896
94	22.864
95	22.984
96	22.92
97	23
98	22.968
99	22.872
100	22.928
101	22.928
102	22.936
103	22.936
104	22.944
105	22.936
106	22.96
107	22.968
108	22.944
109	23.04
110	22.936
111	22.832
112	22.904
113	22.864
114	23.008
115	22.864
116	23.008
117	22.992
118	22.816
119	22.944
120	22.88
121	22.992
122	22.88
123	22.992
124	22.984
125	22.976
126	22.944
127	22.992
128	22.944
129	22.992
130	22.816
131	22.944
132	23
133	22.984
134	22.88
135	22.944
136	22.872
137	22.96
138	22.912
139	22.96
140	22.92
141	22.968
142	22.968
143	22.952
144	22.912
145	22.92
146	22.952
147	22.952
148	22.728
149	22.936
150	22.912
151	22.936
152	22.92
153	22.928
154	22.96
155	22.96
156	22.8
157	22.968
158	22.88
159	22.92
160	22.864
161	24.2
162	26.448
163	28.528
164	30.6
165	32.8
166	34.912
167	37.248
168	39.616
169	41.784
170	43.904
171	45.92
172	47.328
173	47.4
174	47.424
175	47.424
176	47.392
177	47.4
178	47.408
179	47.416
180	47.432
181	47.384
182	47.424
183	47.384
184	47.4
185	47.432
186	47.376
187	47.44
188	47.4
189	47.408
190	47.432
191	47.384
192	47.408
193	47.384
194	47.416
195	47.368
196	47.44
197	47.432
198	47.44
199	47.44
200	47.44
201	47.44
202	47.432
203	47.44
204	47.44
205	47.44
206	47.432
207	47.44
208	47.44
209	47.44
210	47.44
211	47.432
212	47.44
213	47.44
214	47.44
215	47.44
216	47.432
217	47.44
218	47.44
219	47.44
220	47.44
221	47.432
222	47.44
223	47.44
224	47.44
225	47.432
226	47.44
227	47.44
228	47.44
229	47.44
230	47.432
231	47.44
232	47.44
233	47.44
234	47.44
235	47.432
236	47.44
237	47.44
238	47.44
239	47.44
