# Time(s)	Cwnd(packets)
0.10002	10
0.200216	11
0.200553	12
0.200891	13
0.201228	14
0.201565	15
0.300411	16
0.300748	17
0.301086	18
0.301423	19
0.30176	20
0.302097	21
0.302435	22
0.400606	19.25
0.403979	22.25
0.504174	28.25
0.6042	37.25
0.704227	49.25
0.804422	64.25
1.00464	67.25
1.10467	73.25
1.20486	82.25
1.50511	85.25
1.60514	91.25
1.70533	100.25
1.92208	103.25
2.02211	109.25
2.1223	118.25
2.2225	130.25
2.32252	145.25
2.42255	163.25
2.52275	184.25
2.62294	208.25
2.72297	235.25
2.82299	265.25
3.12358	268.25
3.22377	274.25
3.3238	283.25
3.42383	295.25
3.72441	298.25
3.82461	304.25
3.92463	313.25
4.02466	325.25
4.12485	340.25
4.4251	343.25
4.52513	349.25
80.2924	332
80.412	294
80.5253	257
80.5336	258
80.5343	259
80.5349	260
80.5354	261
80.5363	262
80.6341	242
80.6441	243
80.6448	244
80.6455	245
80.6463	246
80.647	247
80.6476	248
80.6483	249
80.649	250
80.6496	251
80.6503	252
80.651	253
80.6516	254
80.6523	255
80.653	256
80.6536	257
80.6545	258
80.6551	259
80.6558	260
80.6565	261
80.6571	262
81.437	265
81.5368	271
