# Time(s)	Throughput(Mbps)
1	2.456
2	6.888
3	14.384
4	22.568
5	27
6	27.752
7	27.744
8	27.752
9	27.744
10	27.744
11	27.752
12	27.744
13	27.752
14	27.744
15	27.752
16	27.744
17	27.744
18	27.752
19	27.744
20	27.752
21	27.744
22	27.752
23	27.744
24	27.776
25	27.84
26	27.84
27	27.84
28	27.84
29	27.84
30	27.84
31	27.84
32	27.84
33	27.84
34	27.84
35	27.84
36	27.84
37	27.84
38	27.84
39	27.84
40	27.84
41	27.84
42	27.84
43	27.84
44	27.84
45	27.84
46	27.744
47	27.752
48	27.744
49	27.752
50	27.744
51	27.744
52	27.752
53	27.744
54	27.752
55	27.744
56	27.752
57	27.744
58	27.752
59	27.744
60	27.744
61	27.752
62	27.744
63	27.752
64	27.744
65	27.752
66	27.744
67	27.744
68	27.752
69	27.744
70	27.752
71	27.744
72	27.752
73	27.744
74	27.752
75	27.744
76	27.832
77	27.84
78	27.84
79	27.84
80	27.84
81	22.312
82	21.288
83	21.6
84	21.568
85	21.544
86	21.544
87	21.552
88	21.544
89	21.544
90	21.552
91	21.552
92	21.552
93	21.552
94	21.56
95	21.56
96	21.552
97	21.552
98	21.552
99	21.56
100	21.56
101	21.552
102	21.552
103	21.552
104	21.56
105	21.56
106	21.552
107	21.552
108	21.552
109	21.56
110	21.56
111	21.552
112	21.552
113	21.552
114	21.56
115	21.552
116	21.56
117	21.552
118	21.552
119	21.552
120	21.568
121	21.552
122	21.552
123	21.552
124	21.56
125	21.56
126	21.552
127	21.56
128	21.56
129	21.552
130	21.56
131	21.576
132	21.6
133	21.6
134	21.576
135	21.552
136	21.56
137	21.552
138	21.552
139	21.552
140	21.568
141	21.552
142	21.552
143	21.552
144	21.56
145	21.552
146	21.56
147	21.552
148	21.552
149	21.552
150	21.56
151	21.56
152	21.552
153	21.552
154	21.552
155	21.56
156	21.552
157	21.56
158	21.552
159	21.552
160	21.56
161	21.56
162	21.552
163	21.552
164	21.552
165	21.56
166	21.552
167	21.56
168	21.552
169	21.552
170	21.56
171	21.552
172	21.56
173	21.552
174	21.552
175	21.56
176	21.56
177	21.552
178	21.56
179	21.56
180	21.552
181	21.56
182	21.56
183	21.6
184	21.6
185	21.592
186	21.56
187	21.552
188	21.552
189	21.552
190	21.56
191	21.552
192	21.56
193	21.552
194	21.552
195	21.552
196	21.568
197	21.552
198	21.552
199	21.552
200	21.56
201	21.552
202	21.56
203	21.552
204	21.552
205	21.552
206	21.568
207	21.552
208	21.552
209	21.552
210	21.56
211	21.552
212	21.56
213	21.552
214	21.552
215	21.552
216	21.568
217	21.552
218	21.552
219	21.552
220	21.552
221	21.56
222	21.552
223	21.56
224	21.552
225	21.552
226	21.56
227	21.56
228	21.552
229	21.552
230	21.568
231	21.552
232	21.56
233	21.56
234	21.584
235	21.6
236	21.6
237	21.568
238	21.552
239	21.552
