# Time(s)	Cwnd(packets) [sampled @1s]
1	244
2	346
3	356
4	366
5	376
6	386
7	396
8	406
9	416
10	426
11	436
12	446
13	456
14	466
15	476
16	486
17	496
18	506
19	516
20	526
21	536
22	546
23	556
24	566
25	576
26	586
27	596
28	606
29	614
30	614
31	614
32	614
33	614
34	614
35	614
36	614
37	614
38	614
39	614
40	614
41	614
42	614
43	614
44	614
45	614
46	614
47	614
48	614
49	614
50	614
51	614
52	614
53	614
54	614
55	614
56	614
57	614
58	614
59	614
60	614
61	614
62	614
63	614
64	614
65	614
66	614
67	614
68	614
69	614
70	614
71	614
72	614
73	614
74	614
75	614
76	614
77	614
78	614
79	614
80	614
81	611
82	606
83	601
84	596
85	592
86	587
87	582
88	577
89	572
90	567
91	562
92	557
93	551
94	546
95	541
96	536
97	530
98	525
99	519
100	514
101	508
102	502
103	497
104	491
105	485
106	479
107	473
108	467
109	461
110	454
111	448
112	441
113	435
114	428
115	421
116	415
117	408
118	401
119	393
120	386
121	378
122	371
123	363
124	355
125	347
126	338
127	330
128	325
129	325
130	325
131	325
132	325
133	325
134	325
135	325
136	325
137	325
138	325
139	325
140	325
141	325
142	325
143	325
144	325
145	325
146	325
147	325
148	325
149	325
150	325
151	325
152	325
153	325
154	325
155	325
156	325
157	325
158	325
159	325
160	325
161	334
162	344
163	354
164	364
165	374
166	384
167	394
168	404
169	414
170	424
171	434
172	444
173	454
174	464
175	474
176	484
177	494
178	504
179	514
180	524
181	534
182	544
183	554
184	564
185	574
186	584
187	594
188	604
189	614
190	614
191	614
192	614
193	614
194	614
195	614
196	614
197	614
198	614
199	614
200	614
201	614
202	614
203	614
204	614
205	614
206	614
207	614
208	614
209	614
210	614
211	614
212	614
213	614
214	614
215	614
216	614
217	614
218	614
219	614
220	614
221	614
222	614
223	614
224	614
225	614
226	614
227	614
228	614
229	614
230	614
231	614
232	614
233	614
234	614
235	614
236	614
237	614
238	614
239	614
