# Time(s)	R2-D1_Throughput(Mbps)  [FlowMonitor]
1	5.98464
2	28.0589
3	29.3129
4	30.1629
5	30.9961
6	31.8461
7	32.6793
8	33.5293
9	34.3625
10	35.2041
11	36.0541
12	36.8873
13	37.7373
14	38.5705
15	39.4205
16	40.2537
17	41.0953
18	41.9453
19	42.8879
20	43.7632
21	44.6048
22	45.3454
23	46.0608
24	46.9108
25	47.744
26	48.594
27	49.4272
28	49.9069
29	49.8985
30	49.9069
31	49.9069
32	49.9069
33	49.9069
34	49.8985
35	49.9069
36	49.9069
37	49.9069
38	49.9069
39	49.8985
40	49.9069
41	49.9069
42	49.9069
43	49.9069
44	49.8985
45	49.9069
46	49.9069
47	49.9069
48	49.8985
49	49.9069
50	49.9069
51	49.9069
52	49.9069
53	49.8985
54	49.9069
55	49.9069
56	49.9069
57	49.9069
58	49.8985
59	49.9069
60	49.9069
61	49.9069
62	49.9069
63	49.8985
64	49.9069
65	49.9069
66	49.9069
67	49.9069
68	49.8985
69	49.9069
70	49.9069
71	49.9069
72	49.8985
73	49.9069
74	49.9069
75	49.9069
76	49.9069
77	49.8985
78	49.9069
79	49.9069
80	49.9069
81	28.2862
82	24.2633
83	24.1623
84	24.1623
85	24.1623
86	24.1623
87	24.1623
88	24.1539
89	24.1623
90	24.1623
91	24.1539
92	24.1539
93	24.1539
94	24.1623
95	24.1623
96	24.1539
97	24.1539
98	24.1455
99	24.1623
100	24.1539
101	24.1623
102	24.1539
103	24.1371
104	24.1539
105	24.1623
106	24.1539
107	24.1455
108	24.1371
109	24.1539
110	24.1539
111	24.1539
112	24.1371
113	24.1455
114	24.1455
115	24.1455
116	24.1371
117	24.1371
118	24.1455
119	24.1455
120	24.1455
121	24.1203
122	24.1371
123	24.1455
124	24.1203
125	24.1287
126	24.1371
127	24.1203
128	24.1539
129	24.2044
130	24.2044
131	24.2044
132	24.2044
133	24.2044
134	24.2044
135	24.196
136	24.2044
137	24.2044
138	24.2044
139	24.2044
140	24.2044
141	24.2044
142	24.2044
143	24.2044
144	24.2044
145	24.2044
146	24.196
147	24.2044
148	24.2044
149	24.2044
150	24.2044
151	24.2044
152	24.2044
153	24.2044
154	24.2044
155	24.2044
156	24.2044
157	24.2044
158	24.2044
159	24.2044
160	24.2044
161	27.6129
162	28.4292
163	29.2372
164	30.0788
165	30.912
166	31.7704
167	32.5615
168	33.3526
169	34.2026
170	35.0358
171	35.8858
172	36.719
173	37.5606
174	38.4695
175	39.328
176	40.178
177	41.0196
178	41.8612
179	42.7028
180	43.5444
181	44.3776
182	45.236
183	46.0692
184	46.9108
185	47.744
186	48.6024
187	49.3851
188	49.89
189	49.9069
190	49.9069
191	49.9069
192	49.8985
193	49.9069
194	49.9069
195	49.9069
196	49.9069
197	49.8985
198	49.9069
199	49.9069
200	49.9069
201	49.8985
202	49.9069
203	49.9069
204	49.9069
205	49.9069
206	49.8985
207	49.9069
208	49.9069
209	49.9069
210	49.9069
211	49.8985
212	49.9069
213	49.9069
214	49.9069
215	49.9069
216	49.8985
217	49.9069
218	49.9069
219	49.9069
220	49.9069
221	49.8985
222	49.9069
223	49.9069
224	49.9069
225	49.8985
226	49.9069
227	49.9069
228	49.9069
229	49.9069
230	49.8985
231	49.9069
232	49.9069
233	49.9069
234	49.9069
235	49.8985
236	49.9069
237	49.9069
238	49.9069
239	49.9069
