# Time(s)	RTT(ms)
1.00194	117
1.00228	115
1.00262	113
1.00296	111
1.00329	110
1.00363	109
1.00397	108
1.00431	107
1.00464	106
1.00498	105
1.00532	105
1.00565	104
1.00599	104
1.00633	104
1.00667	103
1.007	103
1.00734	103
1.00768	103
1.00802	103
1.00835	103
1.00869	103
1.00903	103
1.00936	103
1.0097	103
1.01004	103
1.01038	103
1.01071	103
1.01105	103
1.01139	103
1.01173	103
1.01206	103
1.0124	103
1.01274	103
1.01308	103
1.01341	103
1.01375	103
1.01409	103
1.01442	104
1.01476	104
1.0151	104
1.01544	104
1.01577	104
1.01611	104
1.01645	104
1.01679	104
1.01712	104
1.01746	104
1.0178	104
1.01813	105
1.01847	105
1.01881	105
1.01915	105
1.01948	105
1.01982	105
1.02016	105
1.0205	105
1.02083	105
1.02117	106
1.02151	106
1.02184	106
1.02218	106
1.02252	106
1.02286	106
1.02319	106
1.02353	106
1.02387	106
1.02421	107
1.02454	107
1.02488	107
1.02522	107
1.02555	107
1.02589	107
1.02623	107
1.02657	107
1.0269	107
1.02724	108
1.02758	108
1.02792	108
1.02825	108
1.02859	108
1.02893	108
1.02926	108
1.0296	108
1.02994	108
1.03028	109
1.03061	109
1.03095	109
1.03129	109
1.03163	109
1.03196	109
1.0323	109
1.03264	109
1.03297	109
1.03331	110
1.03365	110
1.03399	110
1.03432	110
1.03466	110
1.035	110
1.03534	110
1.03567	110
1.03601	110
1.03635	111
1.03668	111
1.03702	111
1.03736	111
1.0377	111
1.03803	111
1.03837	111
1.03871	111
1.03905	111
1.03938	112
1.03972	112
1.04006	112
1.04039	112
1.04073	112
1.04107	112
1.04141	112
1.04174	112
1.04208	113
1.04242	113
1.04276	113
1.10231	111
1.10265	110
1.10298	109
1.10332	108
1.10366	107
1.10399	106
1.10433	105
1.10467	105
1.10501	104
1.10534	104
1.10568	104
1.10602	103
1.10636	103
1.10669	103
1.10703	103
1.10737	103
1.1077	103
1.10804	103
1.10838	103
1.10872	103
1.10905	103
1.10939	103
1.10973	103
1.11007	103
1.1104	103
1.11074	103
1.11108	103
1.11141	103
1.11175	103
1.11209	103
1.11243	103
1.11276	103
1.1131	103
1.11344	103
1.11378	103
1.11411	103
1.11445	103
1.11479	103
1.11513	103
1.11546	104
1.1158	104
1.11614	104
1.11647	104
1.11681	104
1.11715	104
1.11749	104
1.11782	104
1.11816	104
1.1185	105
1.11884	105
1.11917	105
1.11951	105
1.11985	105
1.12018	105
1.12052	105
1.12086	105
1.1212	105
1.12153	106
1.12187	106
1.12221	106
1.12255	106
1.12288	106
1.12322	106
1.12356	106
1.12389	106
1.12423	106
1.12457	107
1.12491	107
1.12524	107
1.12558	107
1.12592	107
1.12626	107
1.12659	107
1.12693	107
1.12727	107
1.1276	108
1.12794	108
1.12828	108
1.12862	108
1.12895	108
1.12929	108
1.12963	108
1.12997	108
1.1303	108
1.13064	109
1.13098	109
1.13131	109
1.13165	109
1.13199	109
1.13233	109
1.13266	109
1.133	109
1.13334	109
1.13368	110
1.13401	110
1.13435	110
1.13469	110
1.13502	110
1.13536	110
1.1357	110
1.13604	111
1.13637	111
1.13671	111
1.13705	111
1.13739	111
1.13772	111
1.13806	111
1.1384	111
1.13873	111
1.13907	112
1.13941	112
1.13975	112
1.14008	112
1.14042	112
1.14076	112
1.1411	112
1.14143	112
1.14177	112
1.14211	113
1.14244	113
1.14278	113
1.14312	113
1.14346	113
1.14379	113
1.14413	113
1.14447	113
1.14481	113
1.14514	114
1.14548	114
1.14582	114
1.14615	114
1.14649	114
1.14683	114
1.14717	114
1.1475	114
1.14784	114
1.14818	115
1.14852	115
1.14885	115
1.14919	115
1.14953	115
1.14986	115
1.1502	115
1.15054	115
1.15088	115
1.15121	116
1.15155	116
1.15189	116
1.15223	116
1.15256	116
1.1529	116
1.15324	116
1.15357	116
1.15391	116
1.15425	116
1.15459	116
1.15492	116
1.15526	116
1.1556	116
1.15594	116
1.15627	116
1.15661	116
1.15695	116
1.15729	116
1.15762	116
1.15796	116
1.1583	116
1.15863	116
1.2025	121
1.20284	118
1.20318	116
1.20352	114
1.20385	112
1.20419	111
1.20453	110
1.20486	108
1.2052	107
1.20554	106
1.20588	106
1.20621	105
1.20655	104
1.20689	104
1.20723	103
1.20756	103
1.2079	102
1.20824	102
1.20857	102
1.20891	102
1.20925	101
1.20959	101
1.20992	101
1.21026	101
1.2106	101
1.21094	101
1.21127	101
1.21161	100
1.21195	100
1.21228	100
1.21262	100
1.21296	100
1.2133	100
1.21363	100
1.21397	100
1.21431	100
1.21465	100
1.21498	100
1.21532	100
1.21566	100
1.21599	100
1.21633	100
1.21667	100
1.21701	100
1.21734	100
1.21768	100
1.21802	100
1.21836	100
1.21869	100
1.21903	100
1.21937	100
1.2197	100
1.22004	100
1.22038	100
1.22072	100
1.22105	100
1.22139	100
1.22173	100
1.22207	100
1.2224	100
1.22274	100
1.22308	100
1.22341	100
1.22375	100
1.22409	100
1.22443	100
1.22476	100
1.2251	100
1.22544	100
1.22578	100
1.22611	100
1.22645	100
1.22679	100
1.22712	100
1.22746	100
1.2278	100
1.22814	100
1.22847	100
1.22881	100
1.22915	100
1.22949	100
1.22982	100
1.23016	100
1.2305	100
1.23083	100
1.23117	100
1.23151	100
1.23185	100
1.23218	100
1.23252	100
1.23286	100
1.2332	100
1.23353	100
1.23387	100
1.23421	100
1.23455	100
1.23488	100
1.23522	100
1.23556	100
1.23589	100
1.23623	100
1.23657	100
1.23691	100
1.23724	100
1.23758	100
1.23792	100
1.23826	100
1.23859	100
1.23893	100
1.23927	100
1.2396	100
1.23994	100
1.24028	100
1.24062	100
1.24095	100
1.24129	100
1.24163	100
1.24197	100
1.2423	100
1.24264	100
1.24298	100
1.24331	100
1.24365	100
1.24399	100
1.24433	100
1.24466	100
1.245	100
1.24534	100
1.24568	100
1.24601	100
1.24635	100
1.24669	100
1.24702	100
1.24736	100
1.2477	100
1.24804	100
1.24837	100
1.24871	100
1.24905	100
1.24939	100
1.24972	100
1.25006	100
1.2504	100
1.25073	100
1.25107	100
1.25141	100
1.25175	100
1.25208	100
1.25242	100
1.25276	100
1.2531	100
1.25343	100
1.25377	100
1.25411	100
1.25444	100
1.25478	100
1.25512	100
1.25546	100
1.25579	100
1.25613	100
1.25647	100
1.25681	100
1.25714	100
1.25748	100
1.25782	100
1.25815	100
1.25849	100
1.25883	100
1.25917	100
1.30287	100
1.3032	100
1.30354	100
1.30388	100
1.30422	100
1.30455	100
1.30489	100
1.30523	100
1.30557	100
1.3059	100
1.30624	100
1.30658	100
1.30691	100
1.30725	100
1.30759	100
1.30793	100
1.30826	100
1.3086	100
1.30894	100
1.30928	100
1.30961	100
1.30995	100
1.31029	100
1.31062	100
1.31096	100
1.3113	100
1.31164	100
1.31197	100
1.31231	100
1.31265	100
1.31299	100
1.31332	100
1.31366	100
1.314	100
1.31433	100
1.31467	100
1.31501	100
1.31535	100
1.31568	100
1.31602	100
1.31636	100
1.3167	100
1.31703	100
1.31737	100
1.31771	100
1.31804	100
1.31838	100
1.31872	100
1.31906	100
1.31939	100
1.31973	100
1.32007	100
1.32041	100
1.32074	100
1.32108	100
1.32142	100
1.32175	100
1.32209	100
1.32243	100
1.32277	100
1.3231	100
1.32344	100
1.32378	100
1.32412	100
1.32445	100
1.32479	100
1.32513	100
1.32546	100
1.3258	100
1.32614	100
1.32648	100
1.32681	100
1.32715	100
1.32749	100
1.32783	100
1.32816	100
1.3285	100
1.32884	100
1.32917	100
1.32951	100
1.32985	100
1.33019	100
1.33052	100
1.33086	100
1.3312	100
1.33154	100
1.33187	100
1.33221	100
1.33255	100
1.33288	100
1.33322	100
1.33356	100
1.3339	100
1.33423	100
1.33457	100
1.33491	100
1.33525	100
1.33558	100
1.33592	100
1.33626	100
1.3366	100
1.33693	100
1.33727	100
1.33761	100
1.33794	100
1.33828	100
1.33862	100
1.33896	100
1.33929	100
1.33963	100
1.33997	100
1.34031	100
1.34064	100
1.34098	100
1.34132	100
1.34165	100
1.34199	100
1.34233	100
1.34267	100
1.343	100
1.34334	100
1.34368	100
1.34402	100
1.34435	100
1.34469	100
1.34503	100
1.34536	100
1.3457	100
1.34604	100
1.34638	100
1.34671	100
1.34705	100
1.34739	100
1.34773	100
1.34806	100
1.3484	100
1.34874	100
1.34907	100
1.34941	100
1.34975	100
1.35009	100
1.35042	100
1.35076	100
1.3511	100
1.35144	100
1.35177	100
1.35211	100
1.35245	100
1.35278	100
1.35312	100
1.35346	100
1.3538	100
1.35413	100
1.35447	100
1.35481	100
1.35515	100
1.35548	100
1.35582	100
1.35616	100
1.35649	100
1.35683	100
1.35717	100
1.35751	100
1.35784	100
1.35818	100
1.35852	100
1.35886	100
1.35919	100
1.35953	100
1.40306	106
1.4034	105
1.40374	104
1.40407	104
1.40441	103
1.40475	103
1.40509	103
1.40542	102
1.40576	102
1.4061	102
1.40643	102
1.40677	101
1.40711	101
1.40745	101
1.40778	101
1.40812	101
1.40846	101
1.4088	101
1.40913	101
1.40947	101
1.40981	100
1.41014	100
1.41048	100
1.41082	100
1.41116	100
1.41149	100
1.41183	100
1.41217	100
1.41251	100
1.41284	100
1.41318	100
1.41352	100
1.41386	100
1.41419	100
1.41453	100
1.41487	100
1.4152	100
1.41554	100
1.41588	100
1.41622	100
1.41655	100
1.41689	100
1.41723	100
1.41757	100
1.4179	100
1.41824	100
1.41858	100
1.41891	100
1.41925	100
1.41959	100
1.41993	100
1.42026	100
1.4206	100
1.42094	100
1.42128	100
1.42161	100
1.42195	100
1.42229	100
1.42262	100
1.42296	100
1.4233	100
1.42364	100
1.42397	100
1.42431	100
1.42465	100
1.42499	100
1.42532	100
1.42566	100
1.426	100
1.42633	100
1.42667	100
1.42701	100
1.42735	100
1.42768	100
1.42802	100
1.42836	100
1.4287	100
1.42903	100
1.42937	100
1.42971	100
1.43004	100
1.43038	100
1.43072	100
1.43106	100
1.43139	100
1.43173	100
1.43207	100
1.43241	100
1.43274	100
1.43308	100
1.43342	100
1.43375	100
1.43409	100
1.43443	100
1.43477	100
1.4351	100
1.43544	100
1.43578	100
1.43612	100
1.43645	100
1.43679	100
1.43713	100
1.43746	100
1.4378	100
1.43814	100
1.43848	100
1.43881	100
1.43915	100
1.43949	100
1.43983	100
1.44016	100
1.4405	100
1.44084	100
1.44117	100
1.44151	100
1.44185	100
1.44219	100
1.44252	100
1.44286	100
1.4432	100
1.44354	100
1.44387	100
1.44421	100
1.44455	100
1.44488	100
1.44522	100
1.44556	100
1.4459	100
1.44623	100
1.44657	100
1.44691	100
1.44725	100
1.44758	100
1.44792	100
1.44826	100
1.44859	100
1.44893	100
1.44927	100
1.44961	100
1.44994	100
1.45028	100
1.45062	100
1.45096	100
1.45129	100
1.45163	100
1.45197	100
1.4523	100
1.45264	100
1.45298	100
1.45332	100
1.45365	100
1.45399	100
1.45433	100
1.45467	100
1.455	100
1.45534	100
1.45568	100
1.45602	100
1.45635	100
1.45669	100
1.45703	100
1.45736	100
1.4577	100
1.45804	100
1.45838	100
1.45871	100
1.45905	100
1.45939	100
1.45973	100
1.46006	100
