# Time(s)	Throughput(Mbps)
1	5.688
2	26.672
3	27.864
4	28.672
5	29.464
6	30.272
7	31.064
8	31.872
9	32.664
10	33.464
11	34.272
12	35.064
13	35.872
14	36.664
15	37.472
16	38.264
17	39.064
18	39.872
19	40.768
20	41.6
21	42.4
22	43.104
23	43.784
24	44.592
25	45.384
26	46.192
27	46.984
28	47.44
29	47.432
30	47.44
31	47.44
32	47.44
33	47.44
34	47.432
35	47.44
36	47.44
37	47.44
38	47.44
39	47.432
40	47.44
41	47.44
42	47.44
43	47.44
44	47.432
45	47.44
46	47.44
47	47.44
48	47.432
49	47.44
50	47.44
51	47.44
52	47.44
53	47.432
54	47.44
55	47.44
56	47.44
57	47.44
58	47.432
59	47.44
60	47.44
61	47.44
62	47.44
63	47.432
64	47.44
65	47.44
66	47.44
67	47.44
68	47.432
69	47.44
70	47.44
71	47.44
72	47.432
73	47.44
74	47.44
75	47.44
76	47.44
77	47.432
78	47.44
79	47.44
80	47.44
81	26.888
82	23.064
83	22.968
84	22.968
85	22.968
86	22.968
87	22.968
88	22.96
89	22.968
90	22.968
91	22.96
92	22.96
93	22.96
94	22.968
95	22.968
96	22.96
97	22.96
98	22.952
99	22.968
100	22.96
101	22.968
102	22.96
103	22.944
104	22.96
105	22.968
106	22.96
107	22.952
108	22.944
109	22.96
110	22.96
111	22.96
112	22.944
113	22.952
114	22.952
115	22.952
116	22.944
117	22.944
118	22.952
119	22.952
120	22.952
121	22.928
122	22.944
123	22.952
124	22.928
125	22.936
126	22.944
127	22.928
128	22.96
129	23.008
130	23.008
131	23.008
132	23.008
133	23.008
134	23.008
135	23
136	23.008
137	23.008
138	23.008
139	23.008
140	23.008
141	23.008
142	23.008
143	23.008
144	23.008
145	23.008
146	23
147	23.008
148	23.008
149	23.008
150	23.008
151	23.008
152	23.008
153	23.008
154	23.008
155	23.008
156	23.008
157	23.008
158	23.008
159	23.008
160	23.008
161	26.248
162	27.024
163	27.792
164	28.592
165	29.384
166	30.2
167	30.952
168	31.704
169	32.512
170	33.304
171	34.112
172	34.904
173	35.704
174	36.568
175	37.384
176	38.192
177	38.992
178	39.792
179	40.592
180	41.392
181	42.184
182	43
183	43.792
184	44.592
185	45.384
186	46.2
187	46.944
188	47.424
189	47.44
190	47.44
191	47.44
192	47.432
193	47.44
194	47.44
195	47.44
196	47.44
197	47.432
198	47.44
199	47.44
200	47.44
201	47.432
202	47.44
203	47.44
204	47.44
205	47.44
206	47.432
207	47.44
208	47.44
209	47.44
210	47.44
211	47.432
212	47.44
213	47.44
214	47.44
215	47.44
216	47.432
217	47.44
218	47.44
219	47.44
220	47.44
221	47.432
222	47.44
223	47.44
224	47.44
225	47.432
226	47.44
227	47.44
228	47.44
229	47.44
230	47.432
231	47.44
232	47.44
233	47.44
234	47.44
235	47.432
236	47.44
237	47.44
238	47.44
239	47.44
