# Time(s)	Cwnd(packets)
0.10002	10
0.200216	11
0.200553	12
0.200891	13
0.201228	14
0.201565	15
0.300411	16
0.300748	17
0.301086	18
0.301423	19
0.30176	20
0.302097	21
0.302435	22
0.400606	21
0.504174	22
0.604369	23
0.704395	24
0.80459	25
0.904617	26
1.00481	27
1.10484	28
1.20503	29
1.30506	30
1.40525	31
1.50528	32
1.60548	33
1.7055	34
1.8057	35
1.90572	36
2.00592	37
2.10594	38
2.20614	39
2.30617	40
2.40636	41
2.41277	42
2.51313	43
2.61316	44
2.71335	45
2.81338	46
2.91358	47
3.0136	48
3.1138	49
3.21382	50
3.31402	51
3.41405	52
3.51424	53
3.61427	54
3.71446	55
3.81449	56
3.91468	57
4.01471	58
4.1149	59
4.21493	60
4.31513	61
4.41515	62
4.51535	63
4.61537	64
4.71557	65
4.81559	66
4.91579	67
5.01582	68
5.11601	69
5.21604	70
5.31623	71
5.41626	72
5.51645	73
5.61648	74
5.71668	75
5.8167	76
5.9169	77
6.01692	78
6.11712	79
6.21714	80
6.31734	81
6.33049	82
6.43086	83
6.53088	84
6.63108	85
6.7311	86
6.8313	87
6.93133	88
7.03152	89
7.13155	90
7.23174	91
7.33177	92
7.43196	93
7.53199	94
7.63219	95
7.73221	96
7.83241	97
7.93243	98
8.03263	99
8.13265	100
8.23285	101
8.33288	102
8.43307	103
8.5331	104
8.63329	105
8.73332	106
8.83351	107
8.93354	108
9.03373	109
9.13376	110
9.23396	111
9.33398	112
9.43418	113
9.5342	114
9.6344	115
9.73443	116
9.83462	117
9.93465	118
10.0348	119
10.1349	120
10.2351	121
10.3351	122
10.4353	123
10.5353	124
10.6355	125
10.7355	126
10.8357	127
10.9358	128
11.0359	129
11.136	130
11.2362	131
11.3362	132
11.4364	133
11.5364	134
11.6366	135
11.7366	136
11.8368	137
11.9369	138
12.0371	139
12.1371	140
12.2373	141
12.3373	142
12.4375	143
12.5375	144
12.6377	145
12.7377	146
12.8379	147
12.938	148
13.0382	149
13.1382	150
13.2384	151
13.3384	152
13.4386	153
13.5386	154
13.6388	155
13.7389	156
13.839	157
13.9391	158
14.0393	159
14.1393	160
14.2395	161
14.2661	162
14.3665	163
14.4665	164
14.5667	165
14.6667	166
14.7669	167
14.867	168
14.9672	169
15.0672	170
15.1674	171
15.2674	172
15.3676	173
15.4676	174
15.5678	175
15.6679	176
15.768	177
15.8681	178
15.9683	179
16.0683	180
16.1685	181
16.2685	182
16.3687	183
16.4687	184
16.5689	185
16.669	186
16.7692	187
16.8692	188
16.9694	189
17.0694	190
17.1696	191
17.2696	192
17.3698	193
17.4698	194
17.57	195
17.6701	196
17.7703	197
17.8703	198
17.9705	199
18.0705	200
18.1707	201
18.2707	202
18.3709	203
18.471	204
18.5711	205
18.6712	206
18.7714	207
18.8714	208
18.9716	209
19.0716	210
19.1718	211
19.2718	212
19.372	213
19.4721	214
19.5723	215
19.6723	216
19.7725	217
19.8725	218
19.9727	219
20.0727	220
20.1729	221
20.2729	222
20.3731	223
20.4732	224
20.5734	225
20.6734	226
20.7736	227
20.8736	228
20.9738	229
21.0738	230
21.174	231
21.2741	232
21.3742	233
21.4743	234
21.5745	235
21.6745	236
21.7747	237
21.8747	238
21.9749	239
22.0749	240
22.1751	241
22.2752	242
22.3754	243
22.4754	244
22.5756	245
22.6756	246
22.7758	247
22.8758	248
22.976	249
23.076	250
23.1762	251
23.2763	252
23.3765	253
23.4765	254
23.5767	255
23.6767	256
23.8769	257
23.977	258
24.0772	259
24.1772	260
24.2774	261
24.3774	262
24.4776	263
24.5776	264
24.6778	265
24.7778	266
24.9781	267
25.0781	268
25.1783	269
25.2783	270
25.3785	271
25.4785	272
25.5787	273
25.6788	274
25.879	275
25.979	276
26.1792	277
26.2792	278
26.3794	279
26.4795	280
26.5797	281
26.6797	282
26.8799	283
26.9799	284
27.1802	285
27.2802	286
27.3804	287
27.4804	288
27.5806	289
27.6806	290
27.8809	291
27.9809	292
28.1811	293
28.2811	294
28.3813	295
28.4813	296
28.6816	297
28.7816	298
28.8818	299
28.9818	300
29.182	301
29.2323	302
29.3327	303
29.4327	304
29.5329	305
29.6329	306
29.7331	307
29.8331	308
29.9333	309
30.0333	310
30.1335	311
30.2336	312
30.3338	313
30.4338	314
30.534	315
30.634	316
30.7342	317
30.8342	318
30.9344	319
31.0345	320
31.1346	321
31.2347	322
31.3349	323
31.4349	324
31.5351	325
31.6351	326
31.7353	327
31.8353	328
31.9355	329
32.0356	330
32.1358	331
32.2358	332
32.336	333
32.436	334
32.5362	335
32.6362	336
32.7364	337
32.8364	338
33.0367	339
33.1367	340
33.2369	341
33.3369	342
33.5371	343
33.6372	344
33.8374	345
33.9374	346
80.2775	345
80.3922	344
80.5095	343
80.6274	342
80.746	341
80.8642	340
80.9826	339
81.1003	338
81.2183	337
81.3354	336
81.4527	335
81.569	334
81.6857	333
81.8013	332
81.9173	331
82.0323	330
82.1474	329
82.2617	328
82.3762	327
82.4899	326
82.6037	325
82.7166	324
82.8298	323
82.9421	322
83.0546	321
83.1659	320
83.2777	319
83.3885	318
83.4997	317
83.6098	316
83.7201	315
83.8296	314
83.9392	313
84.0479	312
84.1569	311
84.265	310
84.3733	309
84.4806	308
84.5881	307
84.6948	306
84.8017	305
84.9077	304
85.0139	303
85.1192	302
85.2247	301
85.3291	300
85.4339	299
85.5379	298
85.6421	297
85.7451	296
85.8485	295
85.951	294
86.0537	293
86.1555	292
86.2574	291
86.3586	290
86.4599	289
