# Time(s)	RTT(ms)
1.00245	113
1.00279	111
1.00313	110
1.00346	108
1.0038	107
1.00414	106
1.00447	106
1.00481	105
1.00515	104
1.00549	104
1.00582	103
1.00616	103
1.0065	103
1.10281	102
1.10315	102
1.10349	102
1.10383	101
1.10416	101
1.1045	101
1.10484	101
1.10518	101
1.10551	101
1.10585	101
1.10619	101
1.10652	101
1.10686	100
1.20301	112
1.20335	111
1.20368	110
1.20402	108
1.20436	107
1.2047	106
1.20503	106
1.20537	105
1.20571	104
1.20604	104
1.20638	103
1.20672	103
1.20706	103
1.20739	102
1.30337	102
1.30371	102
1.30405	102
1.30438	101
1.30472	101
1.30506	101
1.3054	101
1.30573	101
1.30607	101
1.30641	101
1.30675	100
1.30708	100
1.30742	100
1.30776	100
1.40357	112
1.40391	111
1.40424	109
1.40458	108
1.40492	107
1.40525	106
1.40559	105
1.40593	105
1.40627	104
1.4066	104
1.40694	103
1.40728	103
1.40762	102
1.40795	102
1.40829	102
1.50393	102
1.50427	101
1.50461	101
1.50494	101
1.50528	101
1.50562	101
1.50596	101
1.50629	101
1.50663	101
1.50697	100
1.5073	100
1.50764	100
1.50798	100
1.50832	100
1.50865	100
1.60413	112
1.60446	111
1.6048	109
1.60514	108
1.60548	107
1.60581	106
1.60615	106
1.60649	105
1.60682	104
1.60716	104
1.6075	103
1.60784	103
1.60817	103
1.60851	102
1.60885	102
1.60919	102
1.70449	102
1.70483	101
1.70516	101
1.7055	101
1.70584	101
1.70618	101
1.70651	101
1.70685	101
1.70719	101
1.70753	101
1.70786	100
1.7082	100
1.70854	100
1.70887	100
1.70921	100
1.70955	100
1.80469	112
1.80502	111
1.80536	109
1.8057	108
1.80603	107
1.80637	106
1.80671	106
1.80705	105
1.80738	104
1.80772	104
1.80806	103
1.8084	103
1.80873	103
1.80907	102
1.80941	102
1.80974	102
1.81008	102
1.90505	101
1.90539	101
1.90572	101
1.90606	101
1.9064	101
1.90674	101
1.90707	101
1.90741	101
1.90775	101
1.90808	101
1.90842	101
1.90876	100
1.9091	100
1.90943	100
1.90977	100
1.91011	100
1.91045	100
2.00524	112
2.00558	111
2.00592	109
2.00626	108
2.00659	107
2.00693	106
2.00727	105
2.0076	105
2.00794	104
2.00828	104
2.00862	103
2.00895	103
2.00929	102
2.00963	102
2.00997	102
2.0103	102
2.01064	101
2.01098	101
2.10561	101
2.10594	101
2.10628	101
2.10662	101
2.10696	101
2.10729	101
2.10763	101
2.10797	100
2.10831	100
2.10864	100
2.10898	100
2.10932	100
2.10965	100
2.10999	100
2.11033	100
2.11067	100
2.111	100
2.11134	100
2.2058	112
2.20614	111
2.20648	109
2.20681	108
2.20715	107
2.20749	106
2.20783	106
2.20816	105
2.2085	104
2.20884	104
2.20918	103
2.20951	103
2.20985	103
2.21019	102
2.21052	102
2.21086	102
2.2112	102
2.21154	101
2.21187	101
2.30617	101
2.3065	101
2.30684	101
2.30718	101
2.30752	101
2.30785	100
2.30819	100
2.30853	100
2.30886	100
2.3092	100
2.30954	100
2.30988	100
2.31021	100
2.31055	100
2.31089	100
2.31123	100
2.31156	100
2.3119	100
2.31224	100
2.40636	112
2.4067	110
2.40704	109
2.40737	108
2.40771	107
2.40805	106
2.40838	106
