# Time(s)	Throughput(Mbps)
1	1.464
2	2.48
3	3.336
4	4.16
5	4.96
6	5.76
7	6.616
8	7.44
9	8.24
10	9.04
11	9.752
12	10.424
13	11.232
14	12.024
15	12.888
16	13.704
17	14.504
18	15.312
19	16.24
20	17.04
21	17.84
22	18.64
23	19.44
24	20.232
25	20.952
26	21.672
27	22.32
28	22.96
29	23.584
30	24.32
31	25.12
32	25.92
33	26.712
34	27.192
35	27.504
36	27.512
37	27.504
38	27.512
39	27.504
40	27.512
41	27.504
42	27.512
43	27.504
44	27.504
45	27.512
46	27.504
47	27.512
48	27.504
49	27.512
50	27.68
51	27.68
52	27.68
53	27.68
54	27.68
55	27.68
56	27.68
57	27.68
58	27.68
59	27.68
60	27.68
61	27.6
62	27.504
63	27.512
64	27.504
65	27.512
66	27.504
67	27.512
68	27.504
69	27.504
70	27.512
71	27.504
72	27.512
73	27.504
74	27.512
75	27.504
76	27.512
77	27.576
78	27.68
79	27.68
80	27.68
81	23.624
82	22.928
83	22.944
84	22.92
85	22.928
86	22.936
87	22.944
88	22.984
89	22.984
90	22.992
91	22.992
92	23
93	22.992
94	23
95	22.992
96	22.992
97	22.992
98	23
99	23
100	22.992
101	22.992
102	22.992
103	23
104	22.992
105	23
106	22.992
107	22.992
108	22.992
109	23.008
110	22.992
111	22.992
112	22.992
113	23
114	22.992
115	23
116	22.992
117	22.992
118	22.992
119	23
120	23
121	22.992
122	22.992
123	22.992
124	23
125	22.992
126	23
127	22.992
128	22.992
129	23.008
130	22.992
131	22.992
132	22.992
133	23
134	22.992
135	23
136	22.992
137	22.992
138	22.992
139	23
140	23
141	22.992
142	22.992
143	22.992
144	23
145	23
146	22.992
147	22.992
148	22.992
149	23
150	23
151	22.992
152	22.992
153	22.992
154	23
155	23
156	22.992
157	22.992
158	22.992
159	23
160	23
161	22.992
162	22.992
163	22.992
164	23
165	23
166	22.992
167	22.992
168	22.992
169	23
170	22.992
171	23
172	22.992
173	22.992
174	22.992
175	23.008
176	22.992
177	22.992
178	22.992
179	23
180	22.992
181	23
182	22.992
183	22.992
184	22.992
185	23.008
186	22.992
187	22.992
188	22.992
189	23
190	22.992
191	23
192	22.992
193	22.992
194	22.992
195	23.008
196	22.992
197	22.992
198	22.992
199	23
200	22.992
201	23
202	22.992
203	22.992
204	22.992
205	23.008
206	22.992
207	22.992
208	22.992
209	22.992
210	23
211	23
212	22.992
213	22.992
214	22.992
215	23
216	23
217	22.992
218	22.992
219	22.992
220	23
221	22.992
222	23
223	22.992
224	22.992
225	23
226	23
227	22.992
228	22.992
229	22.992
230	22.992
231	23.008
232	22.992
233	22.992
234	23
235	22.992
236	23
237	22.992
238	22.992
239	22.992
