# Time(s)	CWND(packets)
0.05	0
0.1	0
0.15	10
0.2	10
0.25	15
0.3	15
0.35	22
0.4	22
0.45	28
0.5	28
0.55	31
0.6	31
0.65	35
0.7	35
0.75	39
0.8	39
0.85	42
0.9	42
0.95	45
1	45
1.05	49
1.1	49
1.15	53
1.2	53
1.25	56
1.3	56
1.35	59
1.4	59
1.45	63
1.5	63
1.55	67
1.6	67
1.65	70
1.7	70
1.75	71
1.8	71
1.85	75
1.9	75
1.95	79
2	79
2.05	80
2.1	80
2.15	81
2.2	81
2.25	85
2.3	85
2.35	89
2.4	89
2.45	90
2.5	90
2.55	91
2.6	91
2.65	95
2.7	95
2.75	99
2.8	99
2.85	100
2.9	100
2.95	101
3	101
3.05	104
3.1	104
3.15	107
3.2	107
3.25	110
3.3	110
3.35	113
3.4	113
3.45	116
3.5	116
3.55	119
3.6	119
3.65	122
3.7	122
3.75	125
3.8	125
3.85	126
3.9	126
3.95	127
4	127
4.05	130
4.1	130
4.15	133
4.2	133
4.25	134
4.3	134
4.35	135
4.4	138
4.45	138
4.5	141
4.55	141
4.6	144
4.65	144
4.7	147
4.75	147
4.8	150
4.85	150
4.9	153
4.95	153
5	156
5.05	156
5.1	159
5.15	159
5.2	162
5.25	162
5.3	165
5.35	165
5.4	168
5.45	168
5.5	171
5.55	171
5.6	174
5.65	174
5.7	177
5.75	177
5.8	180
5.85	180
5.9	183
5.95	183
6	186
6.05	186
6.1	189
6.15	189
6.2	192
6.25	192
6.3	195
6.35	195
6.4	198
6.45	198
6.5	201
6.55	201
6.6	204
6.65	204
6.7	207
6.75	207
6.8	210
6.85	210
6.9	213
6.95	213
7	216
7.05	216
7.1	219
7.15	219
7.2	222
7.25	222
7.3	223
7.35	223
7.4	226
7.45	226
7.5	229
7.55	229
7.6	232
7.65	232
7.7	233
7.75	233
7.8	236
7.85	236
7.9	239
7.95	239
8	242
8.05	242
8.1	243
8.15	243
8.2	243
8.25	243
8.3	242
8.35	242
8.4	239
8.45	239
8.5	238
8.55	238
8.6	239
8.65	239
8.7	242
8.75	242
8.8	243
8.85	243
8.9	243
8.95	243
9	243
9.05	242
9.1	242
9.15	239
