# Time(s)	RTT(ms)
0.301938	114
0.303625	112
0.305311	111
0.306997	110
0.308684	109
0.31037	108
0.312057	108
0.402842	119
0.404529	117
0.406215	115
0.407901	114
0.409588	112
0.411274	111
0.412961	111
0.414647	110
0.416333	109
0.41802	109
0.419706	109
0.50459	108
0.506276	107
0.507962	107
0.509649	106
0.511335	106
0.513022	106
0.514708	106
0.516394	106
0.518081	106
0.519767	106
0.521454	106
0.52314	107
0.524826	107
0.526513	107
0.528199	107
0.529886	108
0.605494	117
0.60718	116
0.608866	114
0.610553	112
0.612239	111
0.613926	110
0.615612	110
0.617298	109
0.618985	109
0.620671	108
0.622358	108
0.624044	108
0.62573	108
0.627417	108
0.629103	108
0.63079	109
0.632476	109
0.634162	109
0.635849	109
0.637535	110
0.639222	110
0.640908	111
0.642594	111
0.644281	111
0.706398	120
0.708084	117
0.709771	115
0.711457	114
0.713143	113
0.71483	112
0.716516	111
0.718203	110
0.719889	110
0.721575	109
0.723262	109
0.724948	109
0.726635	109
0.728321	109
0.730007	109
0.731694	109
0.73338	109
0.735067	109
0.736753	110
0.738439	110
0.740126	110
0.741812	111
0.743499	111
0.745185	112
0.746871	112
0.748558	112
0.750244	113
0.751931	113
0.753617	114
0.755303	114
0.75699	115
0.758676	115
0.760363	116
0.762049	117
0.763735	117
0.765422	117
0.807302	123
0.808988	120
0.810675	118
0.812361	116
0.814048	115
0.815734	113
0.81742	112
0.819107	111
0.820793	111
0.82248	110
0.824166	110
0.825852	110
0.827539	109
0.829225	109
0.830912	109
0.832598	109
0.834284	110
0.835971	110
0.837657	110
0.839344	110
0.84103	111
0.842716	111
0.844403	111
0.846089	112
0.847776	112
0.849462	113
0.851148	113
0.852835	113
0.854521	114
0.856208	114
0.857894	115
0.85958	115
0.861267	116
0.862953	116
0.86464	117
0.866326	117
0.868012	118
0.869699	119
0.871385	119
0.873072	120
0.874758	120
0.876444	121
0.878131	121
0.879817	122
0.881504	122
0.88319	123
0.884876	124
0.886563	124
0.888249	125
0.889936	125
0.891622	126
0.893308	126
0.894995	127
0.896681	127
0.908206	129
0.909892	126
0.911579	123
0.913265	121
0.914952	118
0.916638	117
0.918324	115
0.920011	114
0.921697	113
0.923384	112
0.92507	112
0.926756	111
0.928443	111
0.930129	111
0.931816	110
0.933502	110
0.935188	110
0.936875	110
0.938561	111
0.940248	111
0.941934	111
0.94362	111
0.945307	112
