# Time(s)	CWND(packets)
0.05	0
0.1	0
0.15	10
0.2	10
0.25	15
0.3	15
0.35	22
0.4	22
0.45	33
0.5	33
0.55	49
0.6	49
0.65	73
0.7	73
0.75	109
0.8	109
0.85	163
0.9	163
0.95	244
1	244
1.05	366
1.1	366
1.15	549
1.2	549
1.25	778
1.3	765
1.35	765
1.4	766
1.45	766
1.5	767
1.55	767
1.6	768
1.65	768
1.7	769
1.75	769
1.8	770
1.85	770
1.9	771
1.95	771
2	772
2.05	772
2.1	773
2.15	773
2.2	774
2.25	774
2.3	775
2.35	775
2.4	776
2.45	776
2.5	777
2.55	777
2.6	778
2.65	778
2.7	779
2.75	779
2.8	780
2.85	780
2.9	781
2.95	781
3	782
3.05	782
3.1	783
3.15	783
3.2	784
3.25	784
3.3	785
3.35	785
3.4	786
3.45	786
3.5	787
3.55	787
3.6	788
3.65	788
3.7	789
3.75	789
3.8	790
3.85	790
3.9	791
3.95	791
4	792
4.05	792
4.1	793
4.15	793
4.2	794
4.25	794
4.3	795
4.35	795
4.4	796
4.45	796
4.5	797
4.55	797
4.6	798
4.65	798
4.7	799
4.75	799
4.8	800
4.85	800
4.9	801
4.95	801
5	802
5.05	802
5.1	803
5.15	803
5.2	804
5.25	804
5.3	805
5.35	805
5.4	806
5.45	806
5.5	807
5.55	807
5.6	808
5.65	808
5.7	809
5.75	809
5.8	810
5.85	810
5.9	811
5.95	811
6	812
6.05	812
6.1	813
6.15	813
6.2	814
6.25	814
6.3	815
6.35	815
6.4	816
6.45	816
6.5	817
6.55	817
6.6	818
6.65	818
6.7	819
6.75	819
6.8	820
6.85	820
6.9	821
6.95	821
7	822
7.05	822
7.1	823
7.15	823
7.2	824
7.25	824
7.3	825
7.35	825
7.4	826
7.45	826
7.5	827
7.55	827
7.6	828
7.65	828
7.7	829
7.75	829
7.8	830
7.85	830
7.9	831
7.95	831
8	832
8.05	832
8.1	833
8.15	833
8.2	834
8.25	834
8.3	835
8.35	835
8.4	836
8.45	836
8.5	837
8.55	837
8.6	838
8.65	838
8.7	839
8.75	839
8.8	840
8.85	840
8.9	841
8.95	841
9	842
9.05	842
9.1	843
9.15	843
