# Time(s)	BDP(Kb)	ConvergenceTime(s)	Event	BaseRTT(s)	Convergence(BaseRTTs)
0	500	0.9	new_connection	0.110527	8.14283
80	500	6	bandwidth_halved	0.110527	54.2855
160	500	1.5	bandwidth_doubled	0.110527	13.5714
0	1000	1.05	new_connection	0.101614	10.3332
80	1000	8.85	bandwidth_halved	0.101614	87.0939
160	1000	4.05	bandwidth_doubled	0.101614	39.8566
0	2000	3.15	new_connection	0.100719	31.2752
80	2000	16.75	bandwidth_halved	0.100719	166.305
160	2000	9.35	bandwidth_doubled	0.100719	92.8327
0	3000	2.6	new_connection	0.100307	25.9203
80	3000	25.05	bandwidth_halved	0.100307	249.732
160	3000	14.65	bandwidth_doubled	0.100307	146.051
0	4000	13.2	new_connection	0.100215	131.716
80	4000	33.35	bandwidth_halved	0.100215	332.783
160	4000	20.05	bandwidth_doubled	0.100215	200.069
0	5000	23.9	new_connection	0.100222	238.471
80	5000	41.75	bandwidth_halved	0.100222	416.576
160	5000	25.3	bandwidth_doubled	0.100222	252.44
0	6000	17.8	new_connection	0.100138	177.754
80	6000	50.3	bandwidth_halved	0.100138	502.305
160	6000	30.65	bandwidth_doubled	0.100138	306.076
0	7000	28.6	new_connection	0.100042	285.881
80	7000	58.75	bandwidth_halved	0.100042	587.256
160	7000	36	bandwidth_doubled	0.100042	359.85
0	8000	14.1	new_connection	0.10009	140.873
80	8000	64.6	bandwidth_halved	0.10009	645.419
160	8000	41.6	bandwidth_doubled	0.10009	415.626
