# Time(s)	Cwnd(packets) [sampled @1s]
1	96
2	136
3	176
4	214
5	249
6	279
7	315
8	352
9	382
10	412
11	442
12	472
13	502
14	532
15	562
16	592
17	601
18	593
19	599
20	599
21	600
22	596
23	594
24	599
25	591
26	598
27	598
28	598
29	598
30	598
31	598
32	598
33	598
34	598
35	598
36	598
37	598
38	598
39	598
40	598
41	598
42	598
43	598
44	598
45	598
46	598
47	598
48	598
49	598
50	598
51	598
52	598
53	598
54	598
55	598
56	598
57	598
58	598
59	598
60	598
61	598
62	598
63	598
64	598
65	598
66	598
67	598
68	598
69	598
70	598
71	598
72	598
73	598
74	598
75	598
76	598
77	598
78	598
79	598
80	598
81	259
82	261
83	262
84	269
85	269
86	288
87	286
88	282
89	287
90	283
91	293
92	292
93	297
94	294
95	291
96	291
97	293
98	293
99	291
100	287
101	283
102	286
103	284
104	286
105	289
106	289
107	291
108	292
109	295
110	293
111	297
112	299
113	297
114	296
115	293
116	296
117	298
118	294
119	293
120	289
121	293
122	289
123	295
124	293
125	294
126	292
127	295
128	295
129	298
130	295
131	296
132	296
133	295
134	293
135	295
136	290
137	291
138	290
139	287
140	286
141	288
142	283
143	284
144	287
145	293
146	292
147	299
148	296
149	292
150	290
151	287
152	286
153	285
154	285
155	289
156	295
157	298
158	294
159	294
160	290
161	319
162	345
163	371
164	400
165	426
166	455
167	483
168	513
169	539
170	563
171	589
172	595
173	598
174	600
175	593
176	602
177	596
178	598
179	597
180	597
181	602
182	594
183	600
184	596
185	594
186	599
187	593
188	600
189	597
190	597
191	602
192	595
193	599
194	591
195	598
196	598
197	598
198	598
199	598
200	598
201	598
202	598
203	598
204	598
205	598
206	598
207	598
208	598
209	598
210	598
211	598
212	598
213	598
214	598
215	598
216	598
217	598
218	598
219	598
220	598
221	598
222	598
223	598
224	598
225	598
226	598
227	598
228	598
229	598
230	598
231	598
232	598
233	598
234	598
235	598
236	598
237	598
238	598
239	598
