# Time(s)	QueueLength(packets)
0	0
1	0
2	0
3	224
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	224
104	197
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	57
113	102
114	96
115	94
116	90
117	89
118	87
119	88
120	85
121	89
122	82
123	83
124	66
125	52
126	72
127	83
128	52
129	69
130	87
131	48
132	72
133	87
134	51
135	76
136	82
137	58
138	65
139	78
140	66
141	59
142	74
143	66
144	61
145	68
146	71
147	64
148	70
149	69
150	62
151	70
152	70
153	63
154	71
155	70
156	63
157	69
158	67
159	66
160	64
161	67
162	68
163	64
164	69
165	69
166	65
167	70
168	69
169	63
170	69
171	70
172	64
173	70
174	69
175	62
176	70
177	65
178	65
179	63
180	64
181	48
182	49
183	75
184	47
185	42
186	72
187	42
188	45
189	52
190	37
191	60
192	46
193	31
194	51
195	63
196	31
197	40
198	61
199	53
200	49
201	330
202	457
203	294
204	157
205	270
206	291
207	209
208	266
209	292
210	232
211	197
212	299
213	264
214	225
215	229
216	239
217	262
218	246
219	265
220	271
221	279
222	257
223	269
224	268
225	250
226	257
227	269
228	247
229	285
230	281
231	243
232	279
233	291
234	260
235	272
236	263
237	267
238	266
239	256
240	256
241	261
242	260
243	261
244	268
245	266
246	256
247	256
248	271
249	263
250	279
251	266
252	265
253	264
254	262
255	261
256	259
257	266
258	269
259	269
260	264
261	261
262	260
263	273
264	264
265	278
266	267
267	267
268	261
269	261
270	259
271	259
272	265
273	269
274	269
275	266
276	260
277	260
278	273
279	262
280	278
281	268
282	265
283	261
284	261
285	259
286	259
287	265
288	267
289	269
290	266
291	258
292	260
293	273
294	262
295	278
296	268
297	265
298	261
299	262
300	259
301	0
302	0
303	0
304	0
305	28
306	0
307	0
308	16
309	0
310	0
311	140
312	166
313	14
314	58
315	92
316	37
317	38
318	67
319	57
320	65
321	61
322	58
323	57
324	58
325	53
326	54
327	63
328	56
329	57
330	54
331	55
332	46
333	60
334	56
335	48
336	53
337	42
338	52
339	49
340	50
341	51
342	53
343	50
344	50
345	49
346	52
347	51
348	52
349	48
350	49
351	48
352	52
353	52
354	53
355	48
356	48
357	49
358	52
359	51
360	52
361	51
362	54
363	50
364	50
365	51
366	53
367	51
368	50
369	50
370	49
371	52
372	51
373	52
374	50
375	49
376	48
377	52
378	52
379	51
380	48
381	48
382	49
383	49
384	57
385	52
386	51
387	53
388	50
389	49
390	51
391	51
392	53
393	48
394	48
395	49
396	52
397	51
398	52
399	49
400	49
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
