# Time(s)	Throughput(Mbps)
1	5.688
2	37.1725
3	47.3262
4	47.44
5	47.432
6	47.44
7	47.44
8	47.44
9	47.44
10	47.432
11	47.44
12	47.44
13	47.44
14	47.44
15	47.432
16	47.44
17	47.44
18	47.44
19	47.44
20	47.432
21	47.44
22	47.44
23	47.44
24	47.432
25	47.44
26	47.44
27	47.44
28	47.44
29	47.432
30	47.44
31	47.44
32	47.44
33	47.44
34	47.432
35	47.44
36	47.44
37	47.44
38	47.44
39	47.432
40	47.44
41	47.44
42	47.44
43	47.44
44	47.432
45	47.44
46	47.44
47	47.44
48	47.432
49	47.44
50	47.44
51	47.44
52	47.44
53	47.432
54	47.44
55	47.44
56	47.44
57	47.44
58	47.432
59	47.44
60	47.44
61	47.44
62	47.44
63	47.432
64	47.44
65	47.44
66	47.44
67	47.432
68	47.44
69	47.44
70	47.44
71	47.44
72	47.432
73	47.44
74	47.44
75	47.44
76	47.44
77	47.432
78	47.44
79	47.44
80	47.44
81	28.392
82	22.704
83	20.76
84	23.528
85	23.072
86	22.288
87	23.44
88	23.296
89	22.72
90	22.8
91	23.44
92	23.072
93	22.288
94	23.456
95	23.28
96	22.688
97	22.832
98	23.456
99	23.056
100	22.304
101	23.448
102	23.264
103	22.664
104	22.872
105	23.456
106	23.032
107	22.32
108	23.448
109	23.256
110	22.64
111	22.92
112	23.448
113	23.024
114	22.328
115	23.456
116	23.24
117	22.608
118	22.952
119	23.456
120	23.016
121	22.336
122	23.448
123	23.24
124	22.576
125	22.992
126	23.448
127	23.016
128	22.352
129	23.448
130	23.224
131	22.544
132	23.032
133	23.44
134	23.016
135	22.352
136	23.456
137	23.216
138	22.512
139	23.072
140	23.432
141	23.008
142	22.368
143	23.448
144	23.208
145	22.488
146	23.12
147	23.408
148	23.008
149	22.384
150	23.448
151	23.192
152	22.464
153	23.144
154	23.416
155	23.008
156	22.392
157	23.44
158	23.192
159	22.432
160	23.192
161	42.368
162	47.408
163	47.432
164	47.44
165	47.44
166	47.44
167	47.44
168	47.432
169	47.44
170	47.44
171	47.44
172	47.44
173	47.432
174	47.44
175	47.44
176	47.44
177	47.44
178	47.432
179	47.44
180	47.44
181	47.44
182	47.44
183	47.432
184	47.44
185	47.44
186	47.44
187	47.432
188	47.44
189	47.44
190	47.44
191	47.44
192	47.432
193	47.44
194	47.44
195	47.44
196	47.44
197	47.432
198	47.44
199	47.44
200	47.44
201	47.44
202	47.432
203	47.44
204	47.44
205	47.44
206	47.44
207	47.432
208	47.44
209	47.44
210	47.44
211	47.432
212	47.44
213	47.44
214	47.44
215	47.44
216	47.432
217	47.44
218	47.44
219	47.44
220	47.44
221	47.432
222	47.44
223	47.44
224	47.44
225	47.44
226	47.432
227	47.44
228	47.44
229	47.44
230	47.44
231	47.432
232	47.44
233	47.44
234	47.44
235	47.432
236	47.44
237	47.44
238	47.44
239	47.44
