# Time(s)	QueueLength(packets)
0	0
1	0
2	0
3	224
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	224
104	388
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	11
130	40
131	41
132	35
133	40
134	41
135	35
136	40
137	41
138	41
139	42
140	40
141	41
142	41
143	40
144	41
145	41
146	41
147	40
148	40
149	41
150	41
151	40
152	38
153	41
154	35
155	39
156	41
157	37
158	41
159	40
160	36
161	41
162	41
163	34
164	40
165	41
166	36
167	40
168	41
169	34
170	41
171	40
172	41
173	41
174	40
175	40
176	41
177	41
178	40
179	40
180	41
181	42
182	40
183	41
184	41
185	41
186	37
187	41
188	36
189	41
190	40
191	36
192	41
193	39
194	35
195	40
196	41
197	35
198	42
199	40
200	35
201	332
202	744
203	1250
204	759
205	489
206	575
207	681
208	646
209	614
210	564
211	563
212	538
213	518
214	494
215	446
216	442
217	397
218	391
219	345
220	321
221	279
222	279
223	259
224	270
225	263
226	245
227	229
228	231
229	211
230	192
231	211
232	199
233	193
234	182
235	195
236	194
237	181
238	188
239	175
240	175
241	175
242	177
243	176
244	175
245	166
246	171
247	154
248	134
249	140
250	153
251	136
252	120
253	132
254	125
255	118
256	128
257	122
258	122
259	130
260	110
261	122
262	146
263	103
264	120
265	155
266	101
267	122
268	139
269	111
270	118
271	124
272	120
273	121
274	120
275	122
276	122
277	123
278	124
279	121
280	123
281	120
282	124
283	122
284	124
285	123
286	121
287	122
288	121
289	123
290	122
291	125
292	119
293	120
294	119
295	122
296	123
297	124
298	121
299	115
300	114
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	51
349	55
350	51
351	55
352	51
353	54
354	60
355	54
356	53
357	54
358	52
359	53
360	55
361	54
362	53
363	55
364	50
365	55
366	61
367	54
368	58
369	57
370	52
371	55
372	54
373	59
374	57
375	51
376	55
377	51
378	54
379	59
380	54
381	51
382	54
383	51
384	53
385	59
386	54
387	57
388	57
389	50
390	60
391	58
392	60
393	57
394	51
395	58
396	57
397	55
398	55
399	53
400	52
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
